grammar,tst_av,tst_sd
fakegrammarexp1_correct,426.70500000000004,142.60509088037495
fakegrammarexp1_incorrect,87.64399999999999,5.186494384456616
fakegrammarexp1_permutation_correct,777.1940000000002,264.9279089186339
fakegrammarexp1_permutation_incorrect,31.617,2.6201452249827675
fakegrammarexp2_correct,474.375,169.34023923745946
fakegrammarexp2_incorrect,87.15700000000001,4.311180928701554
fakegrammarexp2_permutation_correct,818.547,329.7371252998364
fakegrammarexp2_permutation_incorrect,32.721000000000004,3.903061490676261
fakegrammarexp3_correct,110.23499999999999,10.689700884496252
fakegrammarexp3_incorrect,79.988,7.380293761091086
fakegrammarexp3_permutation_correct,249.592,18.698787554277416
fakegrammarexp3_permutation_incorrect,40.95799999999999,2.012400556549318
grammar42exp1_correct,57900.74300000002,12054.044042743539
grammar42exp1_incorrect,54864.013,14334.888630518935
grammar42exp1_permutation_correct,20705.823,6366.248194266463
grammar42exp1_permutation_incorrect,319186.54799999995,127831.3627758885
grammar42exp2_correct,89416.53,17242.143329870563
grammar42exp2_incorrect,113358.807,19901.093362729625
grammar42exp2_permutation_correct,41838.525555555556,11195.865460655168
grammar42exp2_permutation_incorrect,112577.3827272727,36082.93090707776
grammar53exp1_correct,27346.066,10702.862273674458
grammar53exp1_incorrect,8792.983000000002,2559.7566762528427
grammar53exp1_permutation_correct,2691.763,509.41124174972816
grammar53exp1_permutation_incorrect,4430.119000000001,784.1853047265041
grammar53exp2_correct,27337.222999999998,9251.559904021646
grammar53exp2_incorrect,7089.2339999999995,1984.367328400667
grammar53exp2_permutation_correct,3716.6940000000004,1100.6027670617586
grammar53exp2_permutation_incorrect,2457.2249999999995,433.61392132287455
